gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
125521,29454-A-1,,URU,ARG,Q2,2:08,32,35,14,ARG,408871,Manuel,Hernandez,4,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,138,32
125521,29454-A-1,,URU,ARG,Q2,2:02,34,35,155,URU,407647,Gabriel,Fata,19,P2,"2PtsFG under the basket, fast break, layup made",1,2,2PT,144,42
125521,29454-A-1,,URU,ARG,Q2,1:40,34,37,14,ARG,362126,Benjamin,Pettovello,2,P2,"2PtsFG under the basket, layup made",1,2,2PT,133,32
125521,29454-A-1,,URU,ARG,Q2,1:40,34,38,14,ARG,362126,Benjamin,Pettovello,2,FT,1st free throw made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,1:23,34,38,155,URU,375744,Manuel,Pastrana,4,P2,"2PtsFG under the basket, points after turnover, layup missed",0,2,2PT,148,33
125521,29454-A-1,,URU,ARG,Q2,1:16,34,38,14,ARG,408870,Gonzalo,Aman,8,P3,3pt jump shot missed,0,3,3PT,58,154
125521,29454-A-1,,URU,ARG,Q2,0:55,34,38,155,URU,407638,Juan,Guzzetti,29,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,126,24
125521,29454-A-1,,URU,ARG,Q2,0:21,34,40,14,ARG,408870,Gonzalo,Aman,8,P2,2pt turnaround jump shot made,1,2,2PT,175,78
125521,29454-A-1,,URU,ARG,Q2,0:05,34,40,155,URU,407647,Gabriel,Fata,19,P3,3pt jump shot missed,0,3,3PT,227,132
125521,29454-A-1,,URU,ARG,Q3,9:46,34,40,14,ARG,409151,Santiago,Pettinaroli,14,P2,"2PtsFG inside paint, reverse lay-up missed",0,2,2PT,165,36
125521,29454-A-1,,URU,ARG,Q3,9:30,34,40,14,ARG,409151,Santiago,Pettinaroli,14,P3,3pt jump shot missed,0,3,3PT,258,84
125521,29454-A-1,,URU,ARG,Q3,9:10,34,40,155,URU,407501,Facundo,Izuibejeres,5,P3,3pt jump shot missed,0,3,3PT,270,41
125521,29454-A-1,,URU,ARG,Q3,9:01,34,40,155,URU,407501,Facundo,Izuibejeres,5,P2,"2PtsFG under the basket, layup missed",0,2,2PT,145,44
125521,29454-A-1,,URU,ARG,Q3,8:56,34,40,155,URU,407401,Lucas,Orozco,22,P2,"2PtsFG under the basket, layup missed",0,2,2PT,160,39
125521,29454-A-1,,URU,ARG,Q3,8:40,34,40,14,ARG,408870,Gonzalo,Aman,8,P3,3pt jump shot missed,0,3,3PT,118,168
125521,29454-A-1,,URU,ARG,Q3,8:20,34,40,155,URU,407647,Gabriel,Fata,19,P3,3pt jump shot missed,0,3,3PT,21,104
125521,29454-A-1,,URU,ARG,Q3,7:58,34,43,14,ARG,408871,Manuel,Hernandez,4,P3,3pt fadeaway jump shot made,1,3,3PT,59,146
125521,29454-A-1,,URU,ARG,Q3,7:35,36,43,155,URU,407647,Gabriel,Fata,19,P2,"2PtsFG under the basket, driving layup made",1,2,2PT,123,32
125521,29454-A-1,,URU,ARG,Q3,7:18,36,43,14,ARG,398746,Roman,Moravansky,11,P3,3pt jump shot missed,0,3,3PT,241,114
125521,29454-A-1,,URU,ARG,Q3,6:49,39,43,155,URU,329851,Nicolas,Testa,11,P3,3pt step back jump shot made,1,3,3PT,146,174
125521,29454-A-1,,URU,ARG,Q3,6:36,39,46,14,ARG,408871,Manuel,Hernandez,4,P3,3pt jump shot made,1,3,3PT,19,98
125521,29454-A-1,,URU,ARG,Q3,6:14,39,48,14,ARG,362126,Benjamin,Pettovello,2,P2,"2PtsFG under the basket, points from fastbreak + after turnover, dunk made",1,2,2PT,154,32
125521,29454-A-1,,URU,ARG,Q3,6:14,39,49,14,ARG,362126,Benjamin,Pettovello,2,FT,Free throw made 1 of 1,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,5:45,39,49,155,URU,324131,Federico,Cruz,8,P2,"2PtsFG inside right, points after turnover, jump shot missed",0,2,2PT,194,89
125521,29454-A-1,,URU,ARG,Q3,5:32,39,49,155,URU,329851,Nicolas,Testa,11,P2,"2PtsFG under the basket, points after turnover, floating jump shot missed",0,2,2PT,143,45
125521,29454-A-1,,URU,ARG,Q3,5:12,39,51,14,ARG,362126,Benjamin,Pettovello,2,P2,"2PtsFG under the basket, points from fastbreak + after turnover, dunk made",1,2,2PT,143,46
125521,29454-A-1,,URU,ARG,Q3,4:54,39,51,155,URU,407647,Gabriel,Fata,19,P3,3pt jump shot missed,0,3,3PT,233,149
125521,29454-A-1,,URU,ARG,Q3,4:21,39,51,155,URU,375744,Manuel,Pastrana,4,P2,2pt hook shot missed,0,2,2PT,113,42
125521,29454-A-1,,URU,ARG,Q3,4:16,39,53,14,ARG,408871,Manuel,Hernandez,4,P2,"2PtsFG under the basket, fast break, layup made",1,2,2PT,152,40
125521,29454-A-1,,URU,ARG,Q3,3:59,39,53,155,URU,407647,Gabriel,Fata,19,P2,"2PtsFG under the basket, reverse lay-up missed",0,2,2PT,116,30
125521,29454-A-1,,URU,ARG,Q3,3:51,39,53,14,ARG,408871,Manuel,Hernandez,4,P3,3pt fadeaway jump shot missed,0,3,3PT,16,89
125521,29454-A-1,,URU,ARG,Q3,3:27,39,53,14,ARG,409023,Joaquin,Celiz,9,P2,"2PtsFG inside right, points after turnover, jump shot missed",0,2,2PT,238,70
125521,29454-A-1,,URU,ARG,Q3,3:19,40,53,155,URU,407638,Juan,Guzzetti,29,FT,1st of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,3:19,40,53,155,URU,407638,Juan,Guzzetti,29,FT,2nd of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,3:08,40,53,14,ARG,362126,Benjamin,Pettovello,2,FT,1st of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,3:08,40,54,14,ARG,362126,Benjamin,Pettovello,2,FT,2nd of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,2:58,40,54,155,URU,375744,Manuel,Pastrana,4,P2,2pt floating jump shot missed,0,2,2PT,104,110
125521,29454-A-1,,URU,ARG,Q3,2:45,40,54,14,ARG,409151,Santiago,Pettinaroli,14,P2,"2PtsFG under the basket, layup missed",0,2,2PT,131,27
