gameId,gameName,date,teamCode,teamName,orgId,personId,firstName,lastName,uniformNumber,isStarter,MIN,PTS,FG2M,FG2A,FG2P,FG3M,FG3A,FG3P,FTM,FTA,FTP,REB,DREB,OREB,AST,STL,BLK,BLKR,TO,PF,FD,PM,EFF
125524,29454-A-4,,ARG,Argentina,14,408871,Manuel,Hernandez,4,1,17:29,14,1,3,33.3,4,9,44.4,0,2,0,5,4,1,2,3,0,0,0,1,1,36,15
125524,29454-A-4,,ARG,Argentina,14,355917,Facundo,Cornalis,5,1,16:56,2,1,1,100,0,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,33,1
125524,29454-A-4,,ARG,Argentina,14,408872,Bautista,Gobetti,6,0,21:33,9,1,5,20,1,4,25,4,6,66.7,4,4,0,1,1,0,0,0,0,3,46,6
125524,29454-A-4,,ARG,Argentina,14,409021,Elias,Torrens,7,0,10:40,19,8,9,88.9,0,0,0,3,3,100,5,2,3,1,1,1,0,0,0,3,23,26
125524,29454-A-4,,ARG,Argentina,14,408870,Gonzalo,Aman,8,1,13:0,6,2,5,40,0,2,0,2,3,66.7,3,2,1,3,1,0,0,0,1,1,20,7
125524,29454-A-4,,ARG,Argentina,14,409023,Joaquin,Celiz,9,0,16:0,16,5,8,62.5,2,3,66.7,0,0,0,3,3,0,6,2,0,0,1,0,1,34,22
125524,29454-A-4,,ARG,Argentina,14,408857,Joaquin,Caumo,10,0,14:9,18,3,3,100,4,4,100,0,0,0,0,0,0,3,2,0,0,1,2,0,29,22
125524,29454-A-4,,ARG,Argentina,14,398746,Roman,Moravansky,11,0,16:54,5,1,3,33.3,1,2,50,0,0,0,2,1,1,8,3,0,0,0,0,0,39,15
125524,29454-A-4,,ARG,Argentina,14,408860,Mateo,Fessia,12,0,21:45,7,0,1,0,2,3,66.7,1,2,50,7,7,0,1,1,1,0,3,2,1,52,11
125524,29454-A-4,,ARG,Argentina,14,409151,Santiago,Pettinaroli,14,1,16:4,15,2,6,33.3,3,6,50,2,2,100,3,1,2,2,1,0,0,0,1,1,32,14
125524,29454-A-4,,ARG,Argentina,14,409174,Juan,Marquez,15,0,20:4,7,3,5,60,0,0,0,1,2,50,10,7,3,3,2,1,0,0,1,1,43,20
125524,29454-A-4,,ECU,Ecuador,52,409161,Michael,Cevallos,1,1,17:31,3,0,1,0,1,2,50,0,0,0,3,3,0,1,0,0,0,2,2,0,-35,3
125524,29454-A-4,,ECU,Ecuador,52,379507,Juan,Castillo,2,1,26:28,18,3,5,60,4,9,44.4,0,0,0,5,5,0,4,0,0,0,8,0,4,-46,12
125524,29454-A-4,,ECU,Ecuador,52,409013,José,Daza,7,1,17:49,2,1,5,20,0,0,0,0,0,0,4,4,0,0,1,0,0,1,1,1,-23,2
125524,29454-A-4,,ECU,Ecuador,52,379500,Alhan,Zambrano,10,0,13:40,3,0,1,0,0,2,0,3,3,100,1,1,0,0,0,0,0,2,0,1,-36,-1
125524,29454-A-4,,ECU,Ecuador,52,400263,Rodrigo,Manjarres,12,0,12:23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-27,1
125524,29454-A-4,,ECU,Ecuador,52,379769,Jahir,Mina,13,0,11:58,1,0,1,0,0,3,0,1,2,50,0,0,0,2,0,0,0,1,1,1,-26,-3
125524,29454-A-4,,ECU,Ecuador,52,409169,Felipe,Noboa,14,1,23:8,8,1,4,25,2,4,50,0,0,0,1,0,1,0,3,0,0,4,0,0,-47,3
125524,29454-A-4,,ECU,Ecuador,52,409167,Ismael,Ibarra,15,0,16:46,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,2,0,1,4,0,-52,3
125524,29454-A-4,,ECU,Ecuador,52,379770,Adair,Quiñonez,23,1,19:36,4,0,2,0,1,2,50,1,2,50,4,4,0,1,0,1,0,4,3,1,-29,2
125524,29454-A-4,,ECU,Ecuador,52,379506,Jeremy,Corozo,32,0,19:33,2,1,1,100,0,2,0,0,0,0,4,4,0,0,0,0,0,2,0,0,-49,2
125524,29454-A-4,,ECU,Ecuador,52,409168,Deivis,Reyes,33,0,10:54,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,1,0,-21,-6
