gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
130879,30373-A-1,,USA,ARG,Q2,8:32,24,11,154,USA,410523,Colben,Landrew,7,FT,2nd of 2 free throws made,1,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q2,8:15,24,11,14,ARG,409151,Santiago,Pettinaroli,14,P2,2pt turnaround jump shot missed,0,2,2PT,82,16
130879,30373-A-1,,USA,ARG,Q2,7:41,24,11,154,USA,341544,Caleb,Gaskins,12,P2,2pt fadeaway jump shot missed,0,2,2PT,104,29
130879,30373-A-1,,USA,ARG,Q2,7:35,24,13,14,ARG,408870,Gonzalo,Aman,8,P2,"2PtsFG under the basket, layup made",1,2,2PT,161,35
130879,30373-A-1,,USA,ARG,Q2,7:13,27,13,154,USA,410523,Colben,Landrew,7,P3,3pt jump shot made,1,3,3PT,5,27
130879,30373-A-1,,USA,ARG,Q2,6:47,27,16,14,ARG,408871,Manuel,Hernandez,4,P3,3pt step back jump shot made,1,3,3PT,40,126
130879,30373-A-1,,USA,ARG,Q2,6:40,27,19,14,ARG,409151,Santiago,Pettinaroli,14,P3,3pt jump shot made,1,3,3PT,11,89
130879,30373-A-1,,USA,ARG,Q2,6:24,27,19,154,USA,369232,Taylen,Kinney,4,P3,3pt step back jump shot missed,0,3,3PT,128,174
130879,30373-A-1,,USA,ARG,Q2,6:09,27,22,14,ARG,408871,Manuel,Hernandez,4,P3,3pt jump shot made,1,3,3PT,34,143
130879,30373-A-1,,USA,ARG,Q2,5:53,30,22,154,USA,416446,Adan,Diggs,10,P3,3pt jump shot from center made,1,3,3PT,173,168
130879,30373-A-1,,USA,ARG,Q2,5:49,30,22,154,USA,416453,Malachi,Jordan,5,P2,"2PtsFG under the basket, points after turnover, layup missed",0,2,2PT,151,34
130879,30373-A-1,,USA,ARG,Q2,5:23,30,22,154,USA,410526,Davion,Thompson,6,FT,1st of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q2,5:23,31,22,154,USA,410526,Davion,Thompson,6,FT,2nd of 2 free throws made,1,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q2,5:23,31,22,154,USA,416453,Malachi,Jordan,5,P2,"2PtsFG under the basket, points after turnover, pullup jump shot missed",0,2,2PT,156,40
