liga,nombre_completo,nombre_abreviado,fecha_nacimiento,url_perfil
Liga Nacional,FAUSTO RUESGA,"RUESGA, F.",18/07/2000,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/386215/ruesga-fausto
Liga Nacional,FEDERICO ZEZULAR,"ZEZULAR, F.",09/11/2001,https://www.laliganacional.com.ar/laliga/jugador/76/89434/380514/zezular-federico
Liga Nacional,FEDERICO JOSE GRUN,"GRUN, F.",13/11/1996,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/375115/grun-federico-jose
Liga Nacional,FEDERICO MATIAS AGUERRE,"AGUERRE, F.",27/10/1988,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/375110/aguerre-federico-matias
Liga Nacional,FELIPE ARAUJO QUEIROS,"ARAUJO, F.",31/03/1998,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/382487/araujo-queiros-felipe
Liga Nacional,FELIPE BARRIONUEVO,"BARRIONUEVO, F.",24/03/2005,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/324887/barrionuevo-felipe
Liga Nacional,FELIPE ANTONIO INYACO TOLEDO,"INYACO, F.",05/02/2002,https://www.laliganacional.com.ar/laliga/jugador/76/89434/154359/inyaco-toledo-felipe-antonio
Liga Nacional,FELIPE SALVADOR RODRIGUEZ,"RODRIGUEZ, F.",12/03/2003,https://www.laliganacional.com.ar/laliga/jugador/46/88969/74902/rodriguez-felipe-salvador
Liga Nacional,FERNANDO ARIEL PODESTA,"PODESTA, F.",10/03/1992,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/323775/podesta-fernando-ariel
Liga Nacional,FIDEL CIFUENTES ROTTA,"CIFUENTES, F.",01/11/2007,https://www.laliganacional.com.ar/laliga/jugador/19/88922/232903/cifuentes-rotta-fidel
Liga Nacional,FORTUNATO JOSE ROLFI,"ROLFI, F.",09/04/2001,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/379152/rolfi-fortunato-jose
Liga Nacional,FRANCISCO FERRARO,"FERRARO, F.",09/02/2004,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/217404/ferraro-francisco
Liga Nacional,FRANCISCO CAFFARO,"CAFFARO, F.",19/05/2000,https://www.laliganacional.com.ar/laliga/jugador/19/88922/378993/caffaro-francisco
Liga Nacional,FRANCISCO CONRRADI,"CONRRADI, F.",20/11/2003,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/379156/conrradi-francisco
Liga Nacional,FRANCISCO GONZALEZ,"GONZALEZ, F.",09/06/2006,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/331352/gonzalez-francisco
Liga Nacional,FRANCISCO SUAREZ,"SUAREZ, F.",10/05/2005,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/181801/suarez-francisco
Liga Nacional,FRANCO CAPELLI,"CAPELLI, F.",02/08/2007,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/219583/capelli-franco
Liga Nacional,FRANCO ALORDA,"ALORDA, F.",24/02/1999,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/380841/alorda-franco
Liga Nacional,FRANCO ADRIAN VIETA STECHINA,"VIETA, F.",03/11/1992,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/380710/vieta-stechina-franco-adrian
Liga Nacional,FRANCO DANIEL GIMENEZ MONTIEL,"GIMENEZ, F.",20/01/2004,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/182938/gimenez-montiel-franco-daniel
Liga Nacional,FRANCO JAVIER MENDEZ,"MENDEZ, F.",07/03/2002,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/78890/mendez-franco-javier
Liga Nacional,FRANCO NAHUEL SMANIOTTI,"SMANIOTTI, F.",04/12/2000,https://www.laliganacional.com.ar/laliga/jugador/80/89148/328509/smaniotti-franco-nahuel
Liga Nacional,FRANCO NAHUEL GIORGETTI,"GIORGETTI, F.",02/12/1992,https://www.laliganacional.com.ar/laliga/jugador/19/88922/328525/giorgetti-franco-nahuel
Liga Nacional,FRANCO NICOLAS BALBI,"BALBI, F.",21/08/1989,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/379612/balbi-franco-nicolas
Liga Nacional,GASTON WHELAN,"WHELAN, G.",06/10/1994,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/177990/whelan-gaston
Liga Nacional,GASTON EZEQUIEL CORDOBA,"CORDOBA, G.",17/09/1994,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/377833/cordoba-gaston-ezequiel
Liga Nacional,GASTON FEDERICO ELIAS,"ELIAS, G.",24/09/1999,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/379611/elias-gaston-federico
Liga Nacional,GASTON LEONEL GARCIA,"GARCIA, G.",15/02/1997,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/209964/garcia-gaston-leonel
Liga Nacional,GERMAN MISETICH,"MISETICH, G.",03/03/2005,https://www.laliganacional.com.ar/laliga/jugador/1498/89552/379541/misetich-german
Liga Nacional,GERONIMO TOLOSA,"TOLOSA, G.",10/11/2007,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/283044/tolosa-geronimo
Liga Nacional,GERONIMO GASTON RAMALLO,"RAMALLO, G.",02/02/2004,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/276149/ramallo-geronimo-gaston
Liga Nacional,GIAN LUCA ROSSI,"ROSSI, G.",07/01/2005,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/272375/rossi-gian-luca
Liga Nacional,GIOVANNI PAPPALARDI,"PAPPALARDI, G.",26/05/2007,https://www.laliganacional.com.ar/laliga/jugador/80/89148/40194/pappalardi-giovanni
Liga Nacional,GONZALO BRESSAN,"BRESSAN, G.",16/11/2001,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/380704/bressan-gonzalo
Liga Nacional,GUSTAVO NICOLAS AGUIRRE,"AGUIRRE, G.",31/03/1988,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/173453/aguirre-gustavo-nicolas
Liga Nacional,HUGO LUIS JUNIOR PAEZ SANCHEZ,"PAEZ, H.",13/09/2005,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/382160/paez-sanchez-hugo-luis-junior
Liga Nacional,IGNACIO ORTEGA NAUMCHIK,"ORTEGA, I.",15/03/2004,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/322972/ortega-naumchik-ignacio
Liga Nacional,IGNACIO BEDNAREK,"BEDNAREK, I.",19/03/2002,https://www.laliganacional.com.ar/laliga/jugador/88/89192/376859/bednarek-ignacio
Liga Nacional,ISAIAH JABRI BROWN,"BROWN, I.",26/05/1998,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/399350/brown-isaiah-jabri
Liga Nacional,IVAN VILLARROEL,"VILLARROEL, I.",28/10/2004,https://www.laliganacional.com.ar/laliga/jugador/88/89192/381362/villarroel-ivan
Liga Nacional,IVAN NICOLAS BASUALDO,"BASUALDO, I.",16/01/1990,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/377837/basualdo-ivan-nicolas
Liga Nacional,JABARI CARL BIRD,"BIRD, J.",03/07/1994,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/386012/bird-jabari-carl
Liga Nacional,JACINTO CANGELOSI,"CANGELOSI, J.",25/08/2008,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/220536/cangelosi-jacinto
Liga Nacional,JANO DAVID MARTINEZ,"MARTINEZ, J.",24/04/2003,https://www.laliganacional.com.ar/laliga/jugador/46/88969/324409/martinez-jano-david
Liga Nacional,JAVIER ALEJANDRO SAIZ,"SAIZ, J.",26/02/1994,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/271403/saiz-javier-alejandro
Liga Nacional,JEREMIAS SANDRINI,"SANDRINI, J.",06/05/1993,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/219611/sandrini-jeremias
Liga Nacional,JEREMIAS BARCO,"BARCO, J.",05/01/2004,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/380702/barco-jeremias
Liga Nacional,JEROME DIEU DONNE MEYINSSE,"MEYINSSE, J.",18/12/1988,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/380826/meyinsse-jerome-dieu-donne
Liga Nacional,JERONIMO GUERRERO,"GUERRERO, J.",31/07/2005,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/231463/guerrero-jeronimo
Liga Nacional,JERSON DAVID CAICEDO VALDES,"CAICEDO, J.",12/10/2004,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/273372/caicedo-valdes-jerson-david
Liga Nacional,JESUS ARTURO CENTENO MORALES,"CENTENO, J.",18/10/2006,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/375103/centeno-morales-jesus-arturo
Liga Nacional,JOAQUIN CAPURRO BLAIOTTA,"CAPURRO, J.",26/08/2005,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/194828/capurro-blaiotta-joaquin
Liga Nacional,JOAQUIN VALINOTTI,"VALINOTTI, J.",01/12/1998,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/380595/valinotti-joaquin
Liga Nacional,JOAQUIN GONCALVES,"GONCALVES, J.",08/06/2006,https://www.laliganacional.com.ar/laliga/jugador/80/89148/273373/goncalves-joaquin
Liga Nacional,JOAQUIN BAUTISTA LOPEZ LORENZ,"LOPEZ, J.",26/05/2005,https://www.laliganacional.com.ar/laliga/jugador/76/89434/77124/lopez-lorenz-joaquin-bautista
Liga Nacional,JOAQUIN MATIAS ACTIS,"ACTIS, J.",16/05/2006,https://www.laliganacional.com.ar/laliga/jugador/88/89192/225273/actis-joaquin-matias
Liga Nacional,JONATAN FABIAN TORRESI,"TORRESI, J.",13/05/1994,https://www.laliganacional.com.ar/laliga/jugador/46/88969/378868/torresi-jonatan-fabian
Liga Nacional,JONATHAN EZEQUIEL MACHUCA,"MACHUCA, J.",21/03/1989,https://www.laliganacional.com.ar/laliga/jugador/1541/89128/380829/machuca-jonathan-ezequiel
Liga Nacional,JORDAN DE VAUGHN LOVERIDGE,"LOVERIDGE, J.",26/11/1993,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/386288/loveridge-jordan-de-vaughn
Liga Nacional,JORGE ALAIN BILBAO TORRONTEGUI,"BILBAO, J.",27/06/1995,https://www.laliganacional.com.ar/laliga/jugador/76/89434/380876/bilbao-torrontegui-jorge-alain
Liga Nacional,JORGE LUCIANO DIAZ GIMENEZ,"DIAZ, J.",04/10/2006,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/324886/diaz-gimenez-jorge-luciano
Liga Nacional,JOSE DEFELIPPO,"DEFELIPPO, J.",26/07/1997,https://www.laliganacional.com.ar/laliga/jugador/46/88969/378870/defelippo-jose
Liga Nacional,JOSE GREGORIO ASCANIO SOLORZANO,"ASCANIO, J.",10/01/1996,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/380699/ascanio-solorzano-jose-gregorio
Liga Nacional,JOSE IGNACIO MONTERO,"MONTERO, J.",02/01/1995,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/386056/montero-jose-ignacio
Liga Nacional,JOSE IGNACIO COPESKY,"COPESKY, J.",22/06/2006,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/83757/copesky-jose-ignacio
Liga Nacional,JOSE IGNACIO JESUS ALESSIO,"ALESSIO, J.",24/04/1987,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/217941/alessio-jose-ignacio-jesus
Liga Nacional,JUAN CRUZ CONTE GRAND ALFONSO,"CONTE, J.",20/01/2002,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/218715/conte-grand-alfonso-juan-cruz
Liga Nacional,JUAN CRUZ MATEO OBERTO,"OBERTO, J.",25/01/1997,https://www.laliganacional.com.ar/laliga/jugador/1498/89552/209522/oberto-juan-cruz-mateo
Liga Nacional,JUAN DIEGO TELLO PALACIOS,"TELLO, J.",11/05/1985,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/386061/tello-palacios-juan-diego
Liga Nacional,JUAN ESTEBAN MADRIGAL RENTERIA,"MADRIGAL, J.",25/11/2004,https://www.laliganacional.com.ar/laliga/jugador/76/89434/220617/madrigal-renteria-juan-esteban
Liga Nacional,JUAN IGNACIO BRUSSINO,"BRUSSINO, J.",14/03/1991,https://www.laliganacional.com.ar/laliga/jugador/76/89434/380516/brussino-juan-ignacio
Liga Nacional,JUAN IGNACIO LARRAZA,"LARRAZA, J.",26/12/2003,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/271254/larraza-juan-ignacio
Liga Nacional,JUAN IGNACIO RESPAUD,"RESPAUD, J.",07/07/2005,https://www.laliganacional.com.ar/laliga/jugador/76/89434/77081/respaud-juan-ignacio
Liga Nacional,JUAN MARTIN GUERRERO MARGARIT,"GUERRERO, J.",12/03/2003,https://www.laliganacional.com.ar/laliga/jugador/80/89148/382314/guerrero-margarit-juan-martin
Liga Nacional,JUAN PABLO CORBALAN,"CORBALAN, J.",22/08/1998,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/78498/corbalan-juan-pablo
Liga Nacional,JUAN PABLO ARIAS,"ARIAS, J.",25/04/2007,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/96264/arias-juan-pablo
Liga Nacional,JULIAN MORALES,"MORALES, J.",01/06/1995,https://www.laliganacional.com.ar/laliga/jugador/80/89148/219337/morales-julian
Liga Nacional,KADIR EDUARDO POMARE SUAREZ,"POMARE, K.",27/01/2003,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/176374/pomare-suarez-kadir-eduardo
Liga Nacional,KENNETH WILCHER HORTON,"HORTON, K.",25/07/1989,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/330752/horton-kenneth-wilcher
Liga Nacional,KEVIN HERNANDEZ,"HERNANDEZ, K.",28/03/1991,https://www.laliganacional.com.ar/laliga/jugador/88/89192/210675/hernandez-kevin
Liga Nacional,LATHANIEL LAVARDO BASTIAN,"BASTIAN, L.",12/05/1998,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/386530/bastian-lathaniel-lavardo
Liga Nacional,LAUTARO BERRA FERNANDEZ,"BERRA, L.",09/01/1998,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/379523/berra-fernandez-lautaro
Liga Nacional,LAUTARO BARRIOS,"BARRIOS, L.",18/09/2004,https://www.laliganacional.com.ar/laliga/jugador/88/89192/377756/barrios-lautaro
Liga Nacional,LEANDRO VILDOZA,"VILDOZA, L.",02/11/1994,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/222956/vildoza-leandro
Liga Nacional,LEANDRO CERMINATO,"CERMINATO, L.",09/06/1998,https://www.laliganacional.com.ar/laliga/jugador/88/89192/210654/cerminato-leandro
Liga Nacional,LEONARDO LEMA,"LEMA, L.",20/06/1998,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/378317/lema-leonardo
