Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
10/12/2025,LOCAL,ECU,COL,12,MANJARRES,RODRIGO,"MANJARRES, R.",164,2:44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,-1,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-6
10/12/2025,LOCAL,ECU,COL,13,MINA,JAHIR,"MINA, J.",542,9:2,3,1,1,100.0,0,3,0.0,1,2,50.0,0,0,0,1,1,0,0,0,0,2,1,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-8
10/12/2025,LOCAL,ECU,COL,14,NOBOA,FELIPE,"NOBOA, F.",1617,26:57,5,1,5,20.0,1,6,16.7,0,0,0.0,2,0,2,1,2,3,0,0,2,2,-2,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,-16
10/12/2025,LOCAL,ECU,COL,15,IBARRA,ISMAEL,"IBARRA, I.",964,16:4,0,0,4,0.0,0,0,0.0,0,0,0.0,4,3,7,0,0,2,0,0,1,1,1,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-18
10/12/2025,LOCAL,ECU,COL,23,QUIÑONEZ,ADAIR,"QUIÑONEZ, A.",1706,28:26,6,2,5,40.0,0,4,0.0,2,2,100.0,4,5,9,2,1,2,0,0,1,3,9,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,-22
10/12/2025,LOCAL,ECU,COL,32,COROZO,JEREMY,"COROZO, J.",698,11:38,1,0,2,0.0,0,0,0.0,1,2,50.0,2,1,3,1,0,0,1,0,0,1,3,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-2
10/12/2025,LOCAL,ECU,COL,33,REYES,DEIVIS,"REYES, D.",370,6:10,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,-2,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-14
10/12/2025,LOCAL,ECU,COL,48,VARGAS,LHEYDER,"VARGAS, L.",638,10:38,3,0,0,0.0,1,3,33.3,0,0,0.0,2,0,2,1,0,3,0,0,3,0,1,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,5
10/12/2025,VISITANTE,COL,ECU,4,SANCHEZ,ALEJANDRO,"SANCHEZ, A.",844,14:4,7,0,3,0.0,2,3,66.7,1,2,50.0,0,0,0,1,0,0,0,0,2,1,3,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,1
10/12/2025,VISITANTE,COL,ECU,5,RESTREPO,LEONARDO,"RESTREPO, L.",1452,24:12,10,0,0,0.0,3,7,42.9,1,2,50.0,9,0,9,4,1,0,1,0,3,1,20,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,29
10/12/2025,VISITANTE,COL,ECU,6,BROWN,SALOMON,"BROWN, S.",437,7:17,0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0,0,1,1,0,0,2,1,-4,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,1
10/12/2025,VISITANTE,COL,ECU,7,BERNAL,MATTHEW,"BERNAL, M.",1504,25:4,5,2,3,66.7,0,0,0.0,1,2,50.0,1,2,3,3,4,3,0,0,0,1,10,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,21
10/12/2025,VISITANTE,COL,ECU,8,SUAREZ,EZEKIEL,"SUAREZ, E.",1217,20:17,14,1,2,50.0,4,7,57.1,0,1,0.0,4,1,5,1,1,2,0,0,0,1,14,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,14
10/12/2025,VISITANTE,COL,ECU,10,MATEUS,ANDRES,"MATEUS, A.",1236,20:36,14,5,9,55.6,0,1,0.0,4,5,80.0,6,7,13,1,0,1,4,0,0,4,25,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,18
10/12/2025,VISITANTE,COL,ECU,14,CAICEDO,YANSEM,"CAICEDO, Y.",1425,23:45,12,3,6,50.0,2,4,50.0,0,2,0.0,5,0,5,5,2,4,0,0,1,4,13,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,28
10/12/2025,VISITANTE,COL,ECU,24,HERNANDEZ,ANDRES,"HERNANDEZ, A.",872,14:32,4,2,5,40.0,0,3,0.0,0,0,0.0,1,1,2,1,2,2,0,0,2,0,1,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-1
10/12/2025,VISITANTE,COL,ECU,32,RIOS,SANTIAGO,"RIOS, S.",773,12:53,3,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,7
10/12/2025,VISITANTE,COL,ECU,59,BETANCURT,JULIAN,"BETANCURT, J.",1486,24:46,8,4,9,44.4,0,2,0.0,0,1,0.0,4,4,8,3,1,1,0,0,1,2,11,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,27
10/12/2025,VISITANTE,COL,ECU,83,OROZCO,ANGEL,"OROZCO, A.",754,12:34,2,1,6,16.7,0,0,0.0,0,2,0.0,1,2,3,0,1,0,0,0,1,1,-1,1,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,10
11/12/2025,LOCAL,COL,URU,4,SANCHEZ,ALEJANDRO,"SANCHEZ, A.",652,10:52,4,0,1,0.0,1,5,20.0,1,2,50.0,0,0,0,1,1,1,0,0,0,2,-1,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-5
11/12/2025,LOCAL,COL,URU,5,RESTREPO,LEONARDO,"RESTREPO, L.",1954,32:34,12,1,3,33.3,3,8,37.5,1,2,50.0,2,0,2,0,3,1,2,0,2,1,10,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,-22
11/12/2025,LOCAL,COL,URU,6,BROWN,SALOMON,"BROWN, S.",645,10:45,0,0,1,0.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,0,1,0,1,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-2
11/12/2025,LOCAL,COL,URU,7,BERNAL,MATTHEW,"BERNAL, M.",2011,33:31,12,5,9,55.6,0,3,0.0,2,4,50.0,1,2,3,4,1,2,0,0,0,3,9,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,-22
11/12/2025,LOCAL,COL,URU,8,SUAREZ,EZEKIEL,"SUAREZ, E.",1196,19:56,8,1,4,25.0,0,3,0.0,6,7,85.7,0,2,2,1,1,0,1,0,1,4,6,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-11
11/12/2025,LOCAL,COL,URU,10,MATEUS,ANDRES,"MATEUS, A.",937,15:37,5,2,3,66.7,0,0,0.0,1,2,50.0,4,2,6,0,0,0,1,0,0,1,10,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,-17
11/12/2025,LOCAL,COL,URU,14,CAICEDO,YANSEM,"CAICEDO, Y.",1130,18:50,3,0,7,0.0,1,2,50.0,0,2,0.0,0,2,2,3,0,4,0,0,4,1,-6,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,-13
11/12/2025,LOCAL,COL,URU,24,HERNANDEZ,ANDRES,"HERNANDEZ, A.",798,13:18,6,0,3,0.0,2,3,66.7,0,0,0.0,1,0,1,0,0,1,0,0,1,0,2,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-7
11/12/2025,LOCAL,COL,URU,32,RIOS,SANTIAGO,"RIOS, S.",670,11:10,0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,-2,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-2
11/12/2025,LOCAL,COL,URU,59,BETANCURT,JULIAN,"BETANCURT, J.",1360,22:40,9,2,6,33.3,1,2,50.0,2,3,66.7,1,3,4,2,1,3,0,0,2,2,7,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,-11
11/12/2025,LOCAL,COL,URU,83,OROZCO,ANGEL,"OROZCO, A.",647,10:47,2,1,3,33.3,0,0,0.0,0,2,0.0,2,4,6,0,1,3,1,0,2,1,3,0,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,2
11/12/2025,VISITANTE,URU,COL,0,ABAL,TOMAS,"ABAL, T.",762,12:42,7,2,2,100.0,1,4,25.0,0,0,0.0,5,2,7,0,0,2,0,0,2,1,9,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,3
11/12/2025,VISITANTE,URU,COL,4,PASTRANA,MANUEL,"PASTRANA, M.",1435,23:55,10,1,5,20.0,2,10,20.0,2,2,100.0,7,0,7,2,1,1,3,0,1,2,10,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,22
11/12/2025,VISITANTE,URU,COL,5,IZUIBEJERES,FACUNDO,"IZUIBEJERES, F.",833,13:53,3,0,1,0.0,1,3,33.3,0,0,0.0,2,0,2,4,0,2,0,0,0,1,4,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,9
11/12/2025,VISITANTE,URU,COL,8,CRUZ,FEDERICO,"CRUZ, F.",1082,18:2,14,6,7,85.7,0,0,0.0,2,2,100.0,3,1,4,2,3,5,0,0,3,2,17,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,9
11/12/2025,VISITANTE,URU,COL,10,GOMEZ,LAUTARO,"GOMEZ, L.",1445,24:5,11,4,6,66.7,1,1,100.0,0,0,0.0,3,2,5,1,0,3,2,0,2,1,14,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,16
11/12/2025,VISITANTE,URU,COL,11,TESTA,NICOLAS,"TESTA, N.",1755,29:15,22,5,5,100.0,3,7,42.9,3,4,75.0,4,2,6,2,1,2,0,0,2,2,24,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,20
11/12/2025,VISITANTE,URU,COL,13,RAMÍREZ,VALENTINO,"RAMÍREZ, V.",563,9:23,6,2,2,100.0,0,1,0.0,2,2,100.0,0,3,3,1,0,2,1,0,0,1,8,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,8
11/12/2025,VISITANTE,URU,COL,15,VENET,GABRIEL,"VENET, G.",510,8:30,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,3,1,0,0,0,0,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,2
