Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
01/06/2026,VISITANTE,ARG,USA,14,PETTINAROLI,SANTIAGO,"PETTINAROLI, S.",1176,19:36,15,3,6,50.0,3,4,75.0,0,0,0.0,3,0,3,1,0,3,0,0,2,1,12,0,"Domo de la Feria, León, México",130879,Grupo A,1,4
01/06/2026,VISITANTE,ARG,USA,12,FESSIA,MATEO,"FESSIA, M.",636,10:36,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,1,-3,0,"Domo de la Feria, León, México",130879,Grupo A,0,-7
01/06/2026,VISITANTE,ARG,USA,11,MORAVANSKY,ROMAN,"MORAVANSKY, R.",1192,19:52,2,1,4,25.0,0,1,0.0,0,0,0.0,1,0,1,3,3,2,0,0,2,2,3,0,"Domo de la Feria, León, México",130879,Grupo A,1,-12
01/06/2026,VISITANTE,ARG,USA,10,CAUMO,JOAQUIN,"CAUMO, J.",1058,17:38,7,2,4,50.0,1,9,11.1,0,1,0.0,2,1,3,1,2,4,0,0,4,0,-2,0,"Domo de la Feria, León, México",130879,Grupo A,0,-29
01/06/2026,VISITANTE,ARG,USA,9,CELIZ,JOAQUIN,"CELIZ, J.",1071,17:51,4,1,2,50.0,0,2,0.0,2,3,66.7,2,0,2,1,0,0,1,0,1,1,4,0,"Domo de la Feria, León, México",130879,Grupo A,1,-23
01/06/2026,VISITANTE,ARG,USA,8,AMAN,GONZALO,"AMAN, G.",1049,17:29,9,3,5,60.0,1,2,50.0,0,0,0.0,2,1,3,3,0,1,0,0,1,1,11,0,"Domo de la Feria, León, México",130879,Grupo A,0,-1
01/06/2026,VISITANTE,ARG,USA,7,TORRENS,ELIAS,"TORRENS, E.",867,14:27,5,1,6,16.7,0,0,0.0,3,5,60.0,1,3,4,0,0,2,0,0,4,3,0,0,"Domo de la Feria, León, México",130879,Grupo A,0,-20
01/06/2026,VISITANTE,ARG,USA,6,GOBETTI,BAUTISTA,"GOBETTI, B.",1216,20:16,2,1,2,50.0,0,2,0.0,0,0,0.0,3,0,3,0,0,2,0,0,2,0,0,0,"Domo de la Feria, León, México",130879,Grupo A,0,-30
01/06/2026,VISITANTE,ARG,USA,4,HERNANDEZ,MANUEL,"HERNANDEZ, M.",1131,18:51,9,1,3,33.3,2,5,40.0,1,3,33.3,2,1,3,0,0,3,0,0,3,3,2,0,"Domo de la Feria, León, México",130879,Grupo A,1,-6
01/06/2026,VISITANTE,ARG,USA,1,BASUALDO,LAUTARO,"BASUALDO, L.",979,16:19,0,0,0,0.0,0,1,0.0,0,0,0.0,4,0,4,2,1,0,1,0,3,3,7,0,"Domo de la Feria, León, México",130879,Grupo A,0,-18
01/06/2026,LOCAL,BRA,MEX,16,ALVES,HENRY,"ALVES, H.",847,14:7,2,0,0,0.0,0,0,0.0,2,2,100.0,3,1,4,1,0,0,1,0,1,2,8,1,"Domo de la Feria, León, México",130877,Grupo A,0,3
01/06/2026,LOCAL,BRA,MEX,15,PEREIRA,MICHAEL,"PEREIRA, M.",867,14:27,2,1,4,25.0,0,0,0.0,0,2,0.0,4,3,7,0,2,2,0,0,4,3,4,1,"Domo de la Feria, León, México",130877,Grupo A,1,23
01/06/2026,LOCAL,BRA,MEX,14,NEVES,JOAO,"NEVES, J.",1446,24:6,17,4,4,100.0,3,11,27.3,0,0,0.0,5,0,5,3,1,2,0,0,1,0,16,1,"Domo de la Feria, León, México",130877,Grupo A,1,22
01/06/2026,LOCAL,BRA,MEX,12,SOLANO,BRUNO,"SOLANO, B.",947,15:47,7,3,3,100.0,0,0,0.0,1,4,25.0,4,0,4,2,3,1,0,0,1,1,12,1,"Domo de la Feria, León, México",130877,Grupo A,0,16
01/06/2026,LOCAL,BRA,MEX,11,SOUZA,PEDRO,"SOUZA, P.",1190,19:50,16,3,7,42.9,2,4,50.0,4,8,50.0,4,1,5,2,0,1,0,0,1,6,12,1,"Domo de la Feria, León, México",130877,Grupo A,1,15
01/06/2026,LOCAL,BRA,MEX,10,MELO,PIETRO,"MELO, P.",1333,22:13,6,1,3,33.3,1,7,14.3,1,2,50.0,1,1,2,6,0,2,0,0,1,5,3,1,"Domo de la Feria, León, México",130877,Grupo A,1,22
01/06/2026,LOCAL,BRA,MEX,9,MOREIRA,RUAN,"MOREIRA, R.",643,10:43,5,1,1,100.0,1,2,50.0,0,0,0.0,3,0,3,0,1,1,0,0,3,0,7,1,"Domo de la Feria, León, México",130877,Grupo A,0,16
01/06/2026,LOCAL,BRA,MEX,8,MORO,LUCAS,"MORO, L.",847,14:7,21,4,5,80.0,3,4,75.0,4,4,100.0,3,2,5,0,1,3,0,0,1,3,22,1,"Domo de la Feria, León, México",130877,Grupo A,0,20
01/06/2026,LOCAL,BRA,MEX,7,SANTOS,ISAIAH,"SANTOS, I.",1538,25:38,16,7,9,77.8,0,3,0.0,2,3,66.7,3,6,9,1,1,1,1,0,0,6,21,1,"Domo de la Feria, León, México",130877,Grupo A,1,16
01/06/2026,LOCAL,BRA,MEX,4,VARALLO,FERNANDO,"VARALLO, F.",806,13:26,3,1,2,50.0,0,1,0.0,1,2,50.0,5,2,7,0,2,1,1,0,0,2,9,1,"Domo de la Feria, León, México",130877,Grupo A,0,-4
01/06/2026,LOCAL,BRA,MEX,3,CUNHA,NICOLAS,"CUNHA, N.",923,15:23,6,1,4,25.0,0,3,0.0,4,4,100.0,1,1,2,1,0,2,0,0,2,3,1,1,"Domo de la Feria, León, México",130877,Grupo A,0,11
01/06/2026,LOCAL,BRA,MEX,2,MATHIAS,CAIO,"MATHIAS, C.",613,10:13,2,1,2,50.0,0,1,0.0,0,0,0.0,1,2,3,0,1,1,0,0,4,0,3,1,"Domo de la Feria, León, México",130877,Grupo A,0,5
01/06/2026,VISITANTE,MEX,BRA,25,BARNES,ISAIAH,"BARNES, I.",1823,30:23,28,8,12,66.7,2,8,25.0,6,9,66.7,4,3,7,3,1,1,1,0,3,4,26,0,"Domo de la Feria, León, México",130877,Grupo A,0,-16
01/06/2026,VISITANTE,MEX,BRA,24,VALLEJO,AYRTON,"VALLEJO, A.",1362,22:42,10,3,3,100.0,1,3,33.3,1,2,50.0,3,1,4,0,0,3,1,0,4,3,9,0,"Domo de la Feria, León, México",130877,Grupo A,1,-29
01/06/2026,VISITANTE,MEX,BRA,21,BERNAL,EMILIANO,"BERNAL, E.",1195,19:55,2,1,1,100.0,0,1,0.0,0,0,0.0,1,0,1,1,3,1,0,0,2,0,5,0,"Domo de la Feria, León, México",130877,Grupo A,0,-5
01/06/2026,VISITANTE,MEX,BRA,14,RAMOS,ELIAS,"RAMOS, E.",599,9:59,2,1,2,50.0,0,2,0.0,0,0,0.0,1,0,1,0,2,1,0,0,4,1,1,0,"Domo de la Feria, León, México",130877,Grupo A,0,-2
01/06/2026,VISITANTE,MEX,BRA,12,PORRAS,ADRIEN,"PORRAS, A.",1659,27:39,6,3,7,42.9,0,1,0.0,0,0,0.0,5,1,6,2,0,1,0,0,3,1,8,0,"Domo de la Feria, León, México",130877,Grupo A,1,-32
01/06/2026,VISITANTE,MEX,BRA,10,OLANO,YAIR,"OLANO, Y.",554,9:14,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,2,0,2,0,"Domo de la Feria, León, México",130877,Grupo A,1,-16
01/06/2026,VISITANTE,MEX,BRA,9,VILLANUEVA,PEDRO,"VILLANUEVA, P.",934,15:34,4,2,8,25.0,0,0,0.0,0,0,0.0,2,0,2,0,0,1,0,0,3,0,-1,0,"Domo de la Feria, León, México",130877,Grupo A,1,-19
01/06/2026,VISITANTE,MEX,BRA,8,AYALA,MIGUEL,"AYALA, M.",832,13:52,8,2,2,100.0,1,4,25.0,1,2,50.0,1,1,2,0,1,2,0,0,1,4,5,0,"Domo de la Feria, León, México",130877,Grupo A,0,-12
01/06/2026,VISITANTE,MEX,BRA,7,FELIX,MAXIMO,"FELIX, M.",347,5:47,3,0,2,0.0,0,1,0.0,3,4,75.0,0,0,0,0,0,3,0,0,2,3,-4,0,"Domo de la Feria, León, México",130877,Grupo A,0,-6
01/06/2026,VISITANTE,MEX,BRA,6,ALVAREZ,ANDRE,"ALVAREZ, A.",567,9:27,1,0,4,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,1,0,0,2,1,-3,0,"Domo de la Feria, León, México",130877,Grupo A,0,0
01/06/2026,VISITANTE,MEX,BRA,5,ESCALANTE,JUAN,"ESCALANTE, J.",1068,17:48,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,2,0,0,2,1,-2,0,"Domo de la Feria, León, México",130877,Grupo A,1,-21
01/06/2026,VISITANTE,MEX,BRA,0,MUÑOZ,CISCO,"MUÑOZ, C.",1060,17:40,4,2,7,28.6,0,2,0.0,0,1,0.0,0,1,1,1,1,0,0,0,3,1,-1,0,"Domo de la Feria, León, México",130877,Grupo A,0,-7
01/06/2026,LOCAL,DOM,PUR,45,FERNANDEZ ,DIEGO,"FERNANDEZ, D.",131,2:11,0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,0,2,0,2,1,"Domo de la Feria, León, México",130885,Grupo B,0,1
